id,ra,dec,dist,dist84,dist16,x,y,z,g,bp,rp,class,xtime,seto,SN,xtime_err
1878305785429560448,333.70769329960706,22.99762023305829,143.55641,143.85034,143.25996,17.346882707149234,126.47346046223282,-65.67279597951406,13.387989,14.190844,12.510617,SOLAR_LIKE,2457500.0995920487,False,1604,0.96277744
5557658685702796544,104.09810041228516,-46.781882386071615,94.33257,94.41996,94.23801,-20.64756985213262,-86.99503549026578,-30.05121323842639,9.432816,9.839687,8.853816,RS,2457149.965658622,False,1604,0.29672635
5118381387854652160,36.83868140223546,-26.78789305761116,88.915855,89.1048,88.75528,-25.84875322741209,-19.715013955507125,-82.75150699401402,13.724086,14.939344,12.628416,SOLAR_LIKE,2457722.927076782,False,1604,0.56998736
5123215734323524480,32.51209013430628,-23.38457023448687,89.62204,89.7486,89.49409,-25.404883984518165,-11.962487746804719,-85.10139131138662,13.18402,14.196462,12.184635,SOLAR_LIKE,2457666.5343214683,False,1604,0.41504863
3436010880896260352,98.27188639999372,31.349158248013847,64.57163,64.648224,64.4942,-63.426950310880784,-3.101269630875862,11.555106628482076,9.423532,9.815724,8.866587,SOLAR_LIKE,2457682.7286433233,False,1604,0.25117666
2766197880540870016,1.4584825265338657,12.134019168968909,102.765205,102.953735,102.57707,-18.368864066656897,64.62502755285591,-77.75537863481689,13.62501,14.648631,12.618798,SOLAR_LIKE,2457264.9642093265,False,1604,0.61425555
870913784450865280,109.72217959206107,25.149241965517437,65.97924,66.07053,65.89324,-61.490476082218265,-14.022296404551295,19.294573117583266,12.22274,13.223597,11.230244,SOLAR_LIKE,2457066.376932685,False,1604,0.28912437
5390780686354116864,165.94204718559948,-39.17768919199556,145.39749,145.75934,145.10435,26.676224696703684,-134.81357969026226,47.49240530554904,13.443207,14.247068,12.56592,SOLAR_LIKE,2457353.3863193034,False,1604,1.0681353
873028420187168512,111.15925733786314,27.87522603507751,66.41818,66.475494,66.35876,-61.60303707857929,-11.630779611982188,21.860548327465562,10.112149,10.584128,9.484793,SOLAR_LIKE,2457154.9575991873,False,1604,0.19037318
421535342004177920,5.418451389530727,56.31339298512646,88.651634,88.75598,88.54509,-42.43020062694541,77.2233389711195,-9.648076037159289,13.097993,14.070384,12.1183,SOLAR_LIKE,2457781.005498005,False,1604,0.3439184
3983664836571085184,166.19496365558794,18.154552390407307,103.011086,103.29018,102.7848,-30.45032721217467,-33.38238362050731,92.56378905673812,13.909977,15.117857,12.819628,SOLAR_LIKE,2457287.1851265416,False,1604,0.8241625
5057422161109154688,53.426951918850584,-28.290095443027536,81.36235,81.609634,81.17312,-34.08324603475285,-33.30519168920943,-65.9326351051445,15.470414,16.892935,14.302515,SOLAR_LIKE,2457148.3277046755,False,1604,0.7118621
1700809733571632896,229.00025102423314,75.1847629432795,108.24221,108.39704,108.0913,-31.188951346486647,78.48676536638374,67.68892827600011,13.917983,15.054583,12.861385,SOLAR_LIKE,2457582.9331319295,False,1604,0.49859583
5070863553318871680,38.238188701819304,-25.924423380687685,87.13912,87.329346,87.000175,-27.491726885110438,-19.618521065129976,-80.31861575433527,12.3153,13.100989,11.452551,SOLAR_LIKE,2457149.21830464,False,1604,0.53680485
200575522480908672,76.4581040310952,39.9000507659189,64.98308,65.04448,64.91903,-63.11613499220766,15.345275690774187,-0.5600715581916802,10.2627325,10.802582,9.574748,SOLAR_LIKE,2457782.332648349,False,1604,0.20458181
393942513590471296,1.241003393329341,49.980328176995066,91.48847,91.61363,91.36806,-38.262683496774116,80.83235190115546,-19.24057086600165,12.644055,13.519565,11.724928,SOLAR_LIKE,2457328.0668828986,False,1604,0.4004792
812433372308877568,140.08012648516174,39.6015898469225,77.479034,77.57912,77.401596,-54.6770117900669,-2.770905647834603,54.798120476845455,13.105467,14.265634,12.033681,SOLAR_LIKE,2457090.031343357,False,1604,0.2894976
